year,county_fips,NAME,SAEPOVRTALL_PT,SAEPOVRTALL_LB90,SAEPOVRTALL_UB90
2024,01001,Autauga County,12.9,11.0,14.8
2024,01003,Baldwin County,10.5,8.9,12.1
2024,01005,Barbour County,28.1,22.7,33.5
2024,01007,Bibb County,21.6,17.6,25.6
2024,01009,Blount County,11.7,9.5,13.9
2024,01011,Bullock County,36.7,29.2,44.2
2024,01013,Butler County,20.3,15.3,25.3
2024,01015,Calhoun County,18.5,15.7,21.3
2024,01017,Chambers County,18.9,14.7,23.1
2024,01019,Cherokee County,15.4,11.8,19.0
2024,01021,Chilton County,15.4,12.5,18.3
2024,01023,Choctaw County,21.9,16.8,27.0
2024,01025,Clarke County,17.8,13.1,22.5
2024,01027,Clay County,17.4,13.5,21.3
2024,01029,Cleburne County,14.0,10.7,17.3
2024,01031,Coffee County,12.9,10.5,15.3
2024,01033,Colbert County,14.9,12.1,17.7
2024,01035,Conecuh County,22.7,17.1,28.3
2024,01037,Coosa County,19.1,14.7,23.5
2024,01039,Covington County,18.9,15.5,22.3
2024,01041,Crenshaw County,20.4,16.3,24.5
2024,01043,Cullman County,14.1,11.6,16.6
2024,01045,Dale County,17.3,14.3,20.3
2024,01047,Dallas County,29.6,23.4,35.8
2024,01049,DeKalb County,21.3,18.6,24.0
2024,01051,Elmore County,11.1,8.6,13.6
2024,01053,Escambia County,19.7,15.6,23.8
2024,01055,Etowah County,17.2,14.9,19.5
2024,01057,Fayette County,17.5,13.5,21.5
2024,01059,Franklin County,17.9,13.9,21.9
2024,01061,Geneva County,17.1,13.1,21.1
2024,01063,Greene County,33.7,26.5,40.9
2024,01065,Hale County,21.0,15.8,26.2
2024,01067,Henry County,16.0,12.4,19.6
2024,01069,Houston County,17.0,15.1,18.9
2024,01071,Jackson County,17.0,14.4,19.6
2024,01073,Jefferson County,14.2,12.6,15.8
2024,01075,Lamar County,18.1,14.4,21.8
2024,01077,Lauderdale County,12.8,10.1,15.5
2024,01079,Lawrence County,16.1,13.0,19.2
2024,01081,Lee County,16.9,15.0,18.8
2024,01083,Limestone County,10.3,8.5,12.1
2024,01085,Lowndes County,25.0,18.9,31.1
2024,01087,Macon County,30.8,24.1,37.5
2024,01089,Madison County,9.6,8.4,10.8
2024,01091,Marengo County,21.6,17.2,26.0
2024,01093,Marion County,16.3,12.8,19.8
2024,01095,Marshall County,15.9,13.6,18.2
