county_fips,state,county_name,rucc_2023,population_2020,rural_indicator
01001,AL,Autauga County,2,58805,0
01009,AL,Blount County,1,59134,0
01011,AL,Bullock County,8,10357,1
01013,AL,Butler County,6,19051,1
01017,AL,Chambers County,6,34772,1
01019,AL,Cherokee County,8,24971,1
01041,AL,Crenshaw County,8,13194,1
01049,AL,DeKalb County,6,71608,1
01065,AL,Hale County,2,14785,0
01073,AL,Jefferson County,1,674721,0
01077,AL,Lauderdale County,3,93564,0
01087,AL,Macon County,3,19532,0
01125,AL,Tuscaloosa County,2,227036,0
01127,AL,Walker County,1,65342,0
01129,AL,Washington County,8,15388,1
01133,AL,Winston County,8,23540,1
02016,AK,Aleutians West Census Area,9,5232,1
02060,AK,Bristol Bay Borough,9,844,1
02100,AK,Haines Borough,9,2080,1
02130,AK,Ketchikan Gateway Borough,7,13948,1
02164,AK,Lake and Peninsula Borough,9,1476,1
02170,AK,Matanuska-Susitna Borough,2,107081,0
02195,AK,Petersburg Borough,9,3398,1
02198,AK,Prince of Wales-Hyder Census Area,9,5753,1
02240,AK,Southeast Fairbanks Census Area,9,6808,1
04011,AZ,Greenlee County,9,9563,1
04017,AZ,Navajo County,4,106717,1
04025,AZ,Yavapai County,3,236209,0
04027,AZ,Yuma County,3,203881,0
05005,AR,Baxter County,7,41627,1
05007,AR,Benton County,2,284333,0
05019,AR,Clark County,7,21446,1
05023,AR,Cleburne County,6,24711,1
05025,AR,Cleveland County,8,7550,1
05033,AR,Crawford County,3,60133,0
05035,AR,Crittenden County,1,48163,0
05041,AR,Desha County,9,11395,1
05045,AR,Faulkner County,2,123498,0
05053,AR,Grant County,2,17958,0
05055,AR,Greene County,4,45736,1
05059,AR,Hot Spring County,6,33040,1
05073,AR,Lafayette County,8,6308,1
05077,AR,Lee County,8,8600,1
05079,AR,Lincoln County,9,12941,1
05111,AR,Poinsett County,3,22965,0
05121,AR,Randolph County,7,18571,1
05131,AR,Sebastian County,3,127799,0
05137,AR,Stone County,9,12359,1
05145,AR,White County,4,76822,1
06003,CA,Alpine County,8,1204,1
06031,CA,Kings County,3,152486,0
06039,CA,Madera County,1,156255,0
06043,CA,Mariposa County,8,17131,1
06051,CA,Mono County,7,13195,1
06055,CA,Napa County,3,138019,0
06061,CA,Placer County,1,404739,0
06071,CA,San Bernardino County,1,2181654,0
06073,CA,San Diego County,1,3298634,0
06085,CA,Santa Clara County,1,1936259,0
06091,CA,Sierra County,8,3236,1
06093,CA,Siskiyou County,7,44076,1
06095,CA,Solano County,2,453491,0
06099,CA,Stanislaus County,2,552878,0
06109,CA,Tuolumne County,4,55620,1
06111,CA,Ventura County,2,843843,0
08009,CO,Baca County,9,3506,1
08017,CO,Cheyenne County,9,1748,1
08023,CO,Costilla County,9,3499,1
08025,CO,Crowley County,8,5922,1
08029,CO,Delta County,6,31196,1
08041,CO,El Paso County,2,730395,0
08055,CO,Huerfano County,8,6820,1
08063,CO,Kit Carson County,9,7087,1
08069,CO,Larimer County,2,359066,0
08085,CO,Montrose County,5,42679,1
08087,CO,Morgan County,6,29111,1
08093,CO,Park County,1,17390,0
08099,CO,Prowers County,7,11999,1
08101,CO,Pueblo County,3,168162,0
08103,CO,Rio Blanco County,9,6529,1
08107,CO,Routt County,7,24829,1
08115,CO,Sedgwick County,9,2404,1
08123,CO,Weld County,2,328981,0
09160,CT,Northwest Hills Planning Region,4,112503,1
09190,CT,Western Connecticut Planning Region,2,620549,0
10001,DE,Kent County,3,181851,0
10005,DE,Sussex County,4,237378,1
12003,FL,Baker County,1,28259,0
12009,FL,Brevard County,2,606612,0
12021,FL,Collier County,2,375752,0
12029,FL,Dixie County,8,16759,1
12039,FL,Gadsden County,2,43826,0
12045,FL,Gulf County,8,14192,1
12047,FL,Hamilton County,8,14004,1
12055,FL,Highlands County,3,101235,0
12061,FL,Indian River County,3,159788,0
12063,FL,Jackson County,6,47319,1
12081,FL,Manatee County,2,399710,0
12109,FL,St. Johns County,1,273425,0
12113,FL,Santa Rosa County,2,188000,0
12119,FL,Sumter County,3,129752,0
12123,FL,Taylor County,6,21796,1
12133,FL,Washington County,3,25318,0
13003,GA,Atkinson County,9,8286,1
13013,GA,Barrow County,1,83505,0
13017,GA,Ben Hill County,7,17194,1
13027,GA,Brooks County,3,16301,0
13053,GA,Chattahoochee County,2,9565,0
13071,GA,Colquitt County,6,45898,1
13083,GA,Dade County,2,16251,0
13089,GA,DeKalb County,1,764382,0
13093,GA,Dooly County,8,11208,1
13095,GA,Dougherty County,3,85790,0
13097,GA,Douglas County,1,144237,0
13099,GA,Early County,8,10854,1
13101,GA,Echols County,3,3697,0
13103,GA,Effingham County,2,64769,0
13131,GA,Grady County,6,26236,1
13143,GA,Haralson County,1,29919,0
13147,GA,Hart County,6,25828,1
13149,GA,Heard County,1,11412,0
13159,GA,Jasper County,1,14588,0
13163,GA,Jefferson County,8,15709,1
13179,GA,Liberty County,3,65256,0
13185,GA,Lowndes County,3,118251,0
13189,GA,McDuffie County,2,21632,0
13195,GA,Madison County,3,30120,0
13225,GA,Peach County,3,27981,0
13227,GA,Pickens County,1,33216,0
13231,GA,Pike County,1,18889,0
13237,GA,Putnam County,8,22047,1
13243,GA,Randolph County,8,6425,1
13249,GA,Schley County,8,4547,1
13251,GA,Screven County,8,14067,1
13259,GA,Stewart County,2,5314,0
13275,GA,Thomas County,4,45798,1
13281,GA,Towns County,9,12493,1
13289,GA,Twiggs County,3,8022,0
13295,GA,Walker County,2,67654,0
13307,GA,Webster County,8,2348,1
13309,GA,Wheeler County,9,7471,1
13321,GA,Worth County,3,20784,0
15007,HI,Kauai County,5,73298,1
16005,ID,Bannock County,3,87018,0
16009,ID,Benewah County,8,9530,1
16019,ID,Bonneville County,3,123964,0
16023,ID,Butte County,3,2574,0
16031,ID,Cassia County,6,24655,1
16039,ID,Elmore County,6,28666,1
16041,ID,Franklin County,3,14194,0
16043,ID,Fremont County,8,13388,1
16053,ID,Jerome County,3,24237,0
16059,ID,Lemhi County,9,7974,1
16063,ID,Lincoln County,8,5127,1
16077,ID,Power County,8,7878,1
16087,ID,Washington County,6,10500,1
17003,IL,Alexander County,3,5240,0
17027,IL,Clinton County,1,36899,0
17029,IL,Coles County,5,46863,1
17043,IL,DuPage County,1,932877,0
17051,IL,Fayette County,6,21488,1
17059,IL,Gallatin County,8,4946,1
17081,IL,Jefferson County,7,37113,1
17083,IL,Jersey County,1,21512,0
17087,IL,Johnson County,8,13308,1
17093,IL,Kendall County,1,131869,0
17095,IL,Knox County,4,49967,1
17097,IL,Lake County,1,714342,0
17105,IL,Livingston County,6,35815,1
17125,IL,Mason County,8,13086,1
17135,IL,Montgomery County,6,28288,1
17137,IL,Morgan County,4,32915,1
17139,IL,Moultrie County,8,14526,1
17141,IL,Ogle County,6,51788,1
17151,IL,Pope County,8,3763,1
17153,IL,Pulaski County,8,5193,1
17159,IL,Richland County,7,15813,1
17163,IL,St. Clair County,1,257400,0
17175,IL,Stark County,2,5400,0
17177,IL,Stephenson County,4,44630,1
17181,IL,Union County,6,17244,1
17189,IL,Washington County,8,13761,1
17193,IL,White County,6,13877,1
17199,IL,Williamson County,5,67153,1
18009,IN,Blackford County,6,12112,1
18017,IN,Cass County,4,37870,1
18021,IN,Clay County,3,26466,0
18027,IN,Daviess County,7,33381,1
18033,IN,DeKalb County,4,43265,1
18047,IN,Franklin County,1,22785,0
18051,IN,Gibson County,6,33011,1
18057,IN,Hamilton County,1,347467,0
18059,IN,Hancock County,1,79840,0
18063,IN,Hendricks County,1,174788,0
18067,IN,Howard County,3,83658,0
18075,IN,Jay County,6,20478,1
18083,IN,Knox County,7,36282,1
18085,IN,Kosciusko County,4,80240,1
18091,IN,LaPorte County,3,112417,0
18093,IN,Lawrence County,6,45011,1
18095,IN,Madison County,1,130129,0
18105,IN,Monroe County,3,139718,0
18117,IN,Orange County,8,19867,1
18125,IN,Pike County,8,12250,1
18143,IN,Scott County,6,24384,1
18163,IN,Vanderburgh County,2,180136,0
18169,IN,Wabash County,6,30976,1
18179,IN,Wells County,2,28180,0
18181,IN,White County,6,24688,1
19021,IA,Buena Vista County,7,20823,1
19031,IA,Cedar County,8,18505,1
19035,IA,Cherokee County,9,11658,1
19037,IA,Chickasaw County,8,12012,1
19053,IA,Decatur County,9,7645,1
19067,IA,Floyd County,7,15627,1
19069,IA,Franklin County,9,10019,1
19091,IA,Humboldt County,7,9597,1
19107,IA,Keokuk County,8,10033,1
19113,IA,Linn County,2,230299,0
19121,IA,Madison County,2,16548,0
19127,IA,Marshall County,4,40105,1
19145,IA,Page County,6,15211,1
19149,IA,Plymouth County,6,25698,1
19151,IA,Pocahontas County,9,7078,1
19159,IA,Ringgold County,9,4663,1
19171,IA,Tama County,6,17135,1
19173,IA,Taylor County,9,5896,1
19177,IA,Van Buren County,9,7203,1
19185,IA,Wayne County,9,6497,1
19187,IA,Webster County,5,36999,1
19189,IA,Winnebago County,9,10679,1
20007,KS,Barber County,9,4228,1
20009,KS,Barton County,7,25493,1
20011,KS,Bourbon County,6,14360,1
20033,KS,Comanche County,9,1689,1
20035,KS,Cowley County,4,34549,1
20041,KS,Dickinson County,6,18402,1
20043,KS,Doniphan County,3,7510,0
20049,KS,Elk County,8,2483,1
20055,KS,Finney County,5,38470,1
20059,KS,Franklin County,6,25996,1
20063,KS,Gove County,9,2718,1
20065,KS,Graham County,9,2415,1
20067,KS,Grant County,7,7352,1
20087,KS,Jefferson County,3,18368,0
20089,KS,Jewell County,9,2932,1
20101,KS,Lane County,9,1574,1
20105,KS,Lincoln County,9,2939,1
20111,KS,Lyon County,4,32179,1
20139,KS,Osage County,3,15766,0
20141,KS,Osborne County,9,3500,1
20143,KS,Ottawa County,9,5735,1
20145,KS,Pawnee County,9,6253,1
20147,KS,Phillips County,9,4981,1
20153,KS,Rawlins County,9,2561,1
20159,KS,Rice County,9,9427,1
20163,KS,Rooks County,9,4919,1
20171,KS,Scott County,9,5151,1
20175,KS,Seward County,7,21964,1
20177,KS,Shawnee County,3,178909,0
20187,KS,Stanton County,9,2084,1
20205,KS,Wilson County,9,8624,1
20209,KS,Wyandotte County,1,169245,0
21005,KY,Anderson County,6,23852,1
21019,KY,Boyd County,2,48261,0
21027,KY,Breckinridge County,8,20432,1
