feature,year_2025,decile,n,feature_mean,stars_mean,expected_mean,residual_mean
Scale (log enrollment),0,1,56,6.832037105263612,3.2767857142857144,3.3192349721431147,-0.04244925785740033
Scale (log enrollment),0,2,54,7.661687089881183,3.3518518518518516,3.4014294216244396,-0.04957756977258782
Scale (log enrollment),0,3,51,8.387129692926488,3.519607843137255,3.530997132886396,-0.011389289749140953
Scale (log enrollment),0,4,56,9.006936861177753,3.5892857142857144,3.5851961420206035,0.004089572265110523
Scale (log enrollment),0,5,54,9.404099479753992,3.6574074074074074,3.6834060996977787,-0.025998692290370964
Scale (log enrollment),0,6,53,9.792384746995387,3.5283018867924527,3.6587155850323354,-0.13041369823988255
Scale (log enrollment),0,7,47,10.289398551155415,3.851063829787234,3.773480173399292,0.07758365638794229
Scale (log enrollment),0,8,54,10.778666865739192,4.12037037037037,3.8976952233008455,0.22267514706952518
Scale (log enrollment),0,9,53,11.310511159187275,3.849056603773585,3.9090818347554976,-0.06002523098191242
Scale (log enrollment),0,10,51,12.533212023379054,4.147058823529412,4.040227366256154,0.10683145727325831
Scale (log enrollment),1,1,49,6.708149271869487,3.3979591836734695,3.295110232031052,0.10284895164241731
Scale (log enrollment),1,2,48,7.6543025973424905,3.3541666666666665,3.373222067607825,-0.019055400941157753
Scale (log enrollment),1,3,53,8.415474507476967,3.547169811320755,3.4996357080201412,0.04753410330061339
Scale (log enrollment),1,4,47,9.00755877907527,3.606382978723404,3.5564303050274657,0.0499526736959387
Scale (log enrollment),1,5,50,9.429746702980475,3.5,3.62301769467036,-0.12301769467035957
Scale (log enrollment),1,6,50,9.787605136302815,3.56,3.680415813507508,-0.120415813507508
Scale (log enrollment),1,7,56,10.255385021015845,3.7232142857142856,3.74882582877436,-0.025611543060073936
Scale (log enrollment),1,8,50,10.798418138817933,3.95,3.871283551137284,0.0787164488627161
Scale (log enrollment),1,9,50,11.321763593756451,3.8,3.884122855271471,-0.08412285527147116
Scale (log enrollment),1,10,53,12.513420750407205,4.037735849056604,4.02003384996196,0.017701999094643976
